127.0.0.1 - - [11/Jun/2020:07:56:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:43:14 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:43:14 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:51:37 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:51:37 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:51:37 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:52:36 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:52:36 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:52:39 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:09:18 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:09:18 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:09:18 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:10:57 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:10:57 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:10:57 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:19:00 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:19:00 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:19:00 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:23:11 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:23:12 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:23:12 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:24:28 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
